system:index,cluster,.geo
0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46846762247448,2.509623409244708]}"
1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71567941438232,6.113664329132228]}"
2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0507510153589,4.675461559256874]}"
3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.12279132686344,3.7286372497948985]}"
4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.69716497096576,3.5372960942774405]}"
5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.66752056658981,1.8170223251885567]}"
6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.61309638321772,1.7065295452418558]}"
7,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.8834892837377,4.450882738226994]}"
8,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.49773897789122,3.297445913417528]}"
9,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.5873954175282,-3.1111353234911387]}"
10,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.5261348894331,2.4853688965734806]}"
11,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.84987856926607,0.8342654043618003]}"
12,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.79957291335538,0.3060560172995217]}"
13,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.72932923241909,-2.8407424229711626]}"
14,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.26614872336336,0.36354819548317074]}"
15,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.28808133914143,4.21552413378768]}"
16,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.93287375295502,1.5214765967132342]}"
17,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.78986653400504,2.01824494883133]}"
18,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.13913609075256,3.1393424234124927]}"
19,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.93017880710265,-0.5769879069899684]}"
20,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.80244294798271,-0.3946299043137049]}"
21,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.23847603833062,-0.7305998205744064]}"
22,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.81017760798984,2.6551504852720704]}"
23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.67470708886276,2.3110957314542935]}"
24,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.38921791728774,0.387802708154398]}"
25,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.04461502573578,-1.5013543343489548]}"
26,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.29075341358453,-1.0000944058102625]}"
27,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.80334126326683,2.5177082468017833]}"
28,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.44725823320556,4.77697118636238]}"
29,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.61703982190414,0.6797551754932423]}"
30,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.30604764482382,1.539442902395625]}"
31,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.96970467960391,0.5773472331036169]}"
32,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77227327728185,5.475860477407368]}"
33,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.79760119401217,-1.102502348199888]}"
34,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.67974680301754,1.6553255740470432]}"
35,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.60391527019229,2.210484419632907]}"
36,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.61127688124023,2.1170596300844773]}"
37,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0184116651306,6.56012702533963]}"
38,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75161202574711,1.9877022291712656]}"
39,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.64793271911415,1.996685382012461]}"
40,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.91293572792941,1.9427864649652902]}"
41,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.02397664561029,3.7744513292849944]}"
42,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.00169385228227,1.3490000621622862]}"
43,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.22717098859627,4.300864085779034]}"
44,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.36281659649832,2.0883135409926528]}"
45,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.87178831363488,-0.5706997000011311]}"
46,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.6820686999107,1.728089112060724]}"
47,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.58325401865754,2.0433977767866764]}"
48,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4055855525861,4.994363485119305]}"
49,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20346461365922,4.441899585385799]}"
50,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.02055847324878,3.4402780435925324]}"
51,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.14684787935043,-0.6228019864800629]}"
52,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.4878575097659,1.5915451888745569]}"
53,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.61990985653148,0.16591883297687637]}"
54,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.93611683654154,0.18208850809102728]}"
55,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.4569646125559,4.190371305832333]}"
56,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.95660299930132,2.4260800878215925]}"
57,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.97923597017929,3.6801282244524445]}"
58,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.89012766827648,5.136297300010189]}"
59,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.23273596907596,3.4025488016595125]}"
60,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.788442952396,4.128387551228085]}"
61,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.28608674838895,0.1766986163863109]}"
62,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.685113823313,-1.1788591473500478]}"
63,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.77082682426355,3.122274433014222]}"
64,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.54085811152896,1.823310532177394]}"
65,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.38724619794452,0.1470542120103664]}"
66,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.20992790942303,4.887463966309081]}"
67,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.98642249245223,0.23239416400172086]}"
68,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.06707290783876,-0.9093645621141917]}"
69,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.895144511022,0.13807105916917095]}"
70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.15261082001435,3.204021123869098]}"
71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.32436412805615,0.1479525272944855]}"
72,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.21566797867769,0.7058063187327086]}"
73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.29975943783498,4.978193810005154]}"
74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.26560058562919,-1.7708489195848127]}"
75,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.41025221778168,4.2846944106648825]}"
76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.76166858264739,1.4487130586995534]}"
77,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.81626785479445,1.4046956097776961]}"
78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.01105005408267,1.5223749119973542]}"
79,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.57140083118902,2.3515199192396725]}"
80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.5625927671228,2.383859269467975]}"
81,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.38579974492623,1.652630628194684]}"
82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.11076305061994,4.438306324249321]}"
83,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.14667279057547,1.1235229258482864]}"
84,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.18692188958586,0.3842094470179198]}"
85,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.23740263427153,0.272818351787099]}"
86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76688338557713,3.146528945685449]}"
87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.37556809925097,2.4422497629357443]}"
88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.80171972147356,-0.5653098082964139]}"
89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.64451454675265,1.3166607119339835]}"
90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.09584186833985,3.7816378515579503]}"
91,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.50834367252568,-1.4232009046305567]}"
92,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19897303723862,4.539815951354827]}"
93,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.74619926263313,-1.4995577037807166]}"
94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.42677207044578,1.440628221142477]}"
95,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.21906327962994,1.2151510848284772]}"
96,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.17774077656044,0.7938412165764221]}"
97,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.53349650048102,-2.6817406176820064]}"
98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.06547423745475,2.0227365252519274]}"
99,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.49451876571395,4.75900488067999]}"
100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.78268001173208,2.054177560196111]}"
101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.74100733111264,-1.852595610439689]}"
102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.07086412915947,2.07394049644674]}"
103,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58811864403735,5.310570465129376]}"
104,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.08129373501896,6.218767217374213]}"
105,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.542281693138,-0.5653098082964139]}"
106,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.62350311766795,1.1612521677813064]}"
107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.68745859161541,2.6542521699879513]}"
108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06153079876833,4.779666132214739]}"
109,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.34772032544326,2.0227365252519274]}"
110,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.00241707879142,3.9172834594599983]}"
111,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77676485370245,2.9866288251121738]}"
112,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44743332198053,0.7857563790193458]}"
113,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20076966780687,5.124619201316635]}"
114,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.85472032323662,2.6803033132274168]}"
115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.5396096186949,6.208885749248898]}"
116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87575462373057,4.653901992438006]}"
117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58093212176439,5.419266614507839]}"
118,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.27909818630023,5.4129784075190015]}"
119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44204343027582,2.126941098209792]}"
120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57267219543235,4.75810656539587]}"
121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.20471310649329,2.031719678093123]}"
122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.42228049402519,1.768513299846103]}"
123,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.25214872777664,4.152642063899313]}"
